#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 02 10 21 56  2.3  1.6 12.5  1.8  9.9 NNE   N    AVERAGE  7.5  15
2024 02 10 21 26  2.3  1.6 10.5  1.7  9.9   N   N    AVERAGE  7.3   7
2024 02 10 20 56  2.4  1.6 12.5  1.7  9.9 NNE   N    AVERAGE  7.5  18
2024 02 10 20 26  2.2  1.5 11.1  1.6  9.9   N NNE    AVERAGE  7.5  11
2024 02 10 19 56  2.3  1.6 11.1  1.6  9.9   N NNE      SWELL  7.7  10
2024 02 10 19 26  2.3  1.5 11.1  1.7  9.9   N   N    AVERAGE  7.3   2
2024 02 10 18 56  2.1  1.4 12.5  1.6  9.9 NNE   N    AVERAGE  7.2  15
2024 02 10 18 26  2.0  1.4 11.8  1.5  9.9 NNE   N    AVERAGE  7.4  17
2024 02 10 17 56  2.2  1.6 11.1  1.5  9.1   N   N      SWELL  7.7   7
2024 02 10 17 26  2.3  1.6 11.1  1.6  9.1   N   N      SWELL  7.9   2
2024 02 10 16 56  2.0  1.3 11.1  1.6  9.9   N   N    AVERAGE  7.8   4
2024 02 10 16 26  2.1  1.3 10.5  1.6  9.9   N NNE    AVERAGE  7.5   8
2024 02 10 15 56  2.2  1.5 10.5  1.6  9.9   N   N    AVERAGE  7.7  11
2024 02 10 15 26  2.1  1.3 11.8  1.7  9.9   N   N    AVERAGE  7.4  11
2024 02 10 14 56  2.5  1.7 11.1  1.8  9.9   N NNE    AVERAGE  7.8   5
2024 02 10 14 26  2.3  1.6 11.8  1.7  9.9 NNE   N    AVERAGE  7.7  12
2024 02 10 13 56  2.4  1.7 11.8  1.7  9.9 NNE   N      SWELL  8.2  17
2024 02 10 13 26  2.1  1.4 11.8  1.6  9.9 NNE   N    AVERAGE  7.8  12
2024 02 10 12 56  2.4  1.7 11.1  1.7  9.9   N   N      SWELL  8.1   7
2024 02 10 12 26  2.4  1.6 11.8  1.8  9.9 NNE NNE    AVERAGE  8.1  17
2024 02 10 11 56  2.3  1.6 11.8  1.7  9.9 NNE   N    AVERAGE  8.0  12
2024 02 10 11 26  2.3  1.6 12.5  1.7  9.1 NNE   N    AVERAGE  7.9  18
2024 02 10 10 56  2.2  1.5 11.8  1.7  9.9 NNE   N    AVERAGE  7.8  15
